Efficiency,EMAIL,PHONE
10435.0,28,12
10241.0,29,17
10200.0,15,16
10298.0,20,27
10693.0,24,7
10870.0,0,15
10200.0,16,22
10287.0,26,25
11098.0,13,4
10239.0,19,26
10494.0,20,9
10528.0,9,28
11000.0,9,6
11076.0,4,8
10800.0,27,7
10855.0,25,6
10600.0,3,18
10400.0,8,22
10600.0,22,8
10244.0,29,17
10609.0,3,16
10756.0,1,20
10800.0,2,26
10400.0,28,25
10600.0,3,22
11419.0,21,1
11362.0,2,7
10400.0,16,11
10156.0,19,16
10703.0,12,8
10287.0,22,27
11053.0,24,4
11320.0,18,2
10400.0,13,28
10447.0,25,10
10889.0,27,6
10247.0,10,21
11312.0,8,4
10222.0,28,17
10433.0,9,13
10778.0,4,12
10200.0,24,22
10400.0,27,26
10445.0,10,27
10071.0,18,20
11428.0,20,1
10200.0,22,15
10443.0,7,24
11087.0,26,4
11650.0,17,0
11309.0,1,8
10333.0,8,21
10095.0,23,21
10601.0,8,11
10246.0,11,22
10200.0,23,25
11876.0,6,1
10673.0,26,8
10400.0,6,21
10400.0,7,17
10291.0,17,27
10203.0,28,21
10800.0,1,15
11091.0,2,9
10369.0,19,11
10200.0,23,24
10086.0,21,22
10665.0,6,12
10200.0,24,18
10205.0,15,24
10841.0,0,23
10200.0,17,14
10272.0,16,13
10140.0,23,19
10600.0,18,8
11800.0,11,0
10136.0,15,20
11200.0,14,3
10109.0,23,18
10271.0,10,18
10400.0,29,13
10600.0,8,28
11711.0,9,1
10200.0,19,14
10600.0,10,10
10635.0,3,15
11600.0,20,0
10111.0,18,21
10359.0,15,12
11400.0,24,2
11105.0,3,8
12196.0,2,1
11800.0,12,0
10922.0,22,5
10318.0,12,14
10200.0,13,19
10817.0,10,7
11400.0,5,5
10222.0,18,26
10400.0,8,16
