Efficiency,EMAIL,PHONE
14521.0,4,6
14522.0,15,24
14522.0,26,20
14521.0,8,3
14522.0,16,9
14521.0,4,1
14522.0,25,0
14521.0,4,24
14522.0,26,23
14521.0,4,26
14521.0,13,23
14522.0,3,25
14521.0,11,6
14522.0,21,4
14521.0,23,16
14522.0,16,29
14522.0,16,6
14521.0,20,8
14521.0,8,17
14522.0,12,17
14522.0,16,25
14521.0,25,13
14521.0,4,7
14522.0,4,10
14521.0,24,5
14522.0,7,19
14521.0,15,2
14521.0,6,13
14521.0,12,11
14521.0,27,1
14522.0,16,25
14521.0,6,5
14522.0,14,26
14521.0,0,8
14521.0,3,4
14522.0,28,7
14521.0,17,19
14521.0,0,8
14521.0,19,8
14522.0,21,22
14521.0,5,4
14521.0,19,5
14522.0,11,1
14522.0,19,9
14521.0,6,24
14521.0,2,10
14521.0,9,21
14521.0,20,23
14521.0,0,6
14521.0,28,1
14521.0,28,5
14521.0,21,29
14521.0,28,25
14521.0,27,8
14521.0,5,5
14521.0,13,17
14521.0,28,19
14521.0,26,6
14521.0,22,16
14522.0,26,20
14522.0,24,22
14522.0,18,11
14521.0,20,10
14521.0,9,24
14522.0,7,27
14522.0,8,2
14522.0,15,16
14522.0,18,12
14521.0,17,20
14521.0,27,24
14521.0,11,7
14521.0,25,8
14521.0,3,23
14522.0,25,15
14521.0,14,1
14522.0,17,22
14521.0,2,18
14521.0,1,20
14522.0,20,13
14522.0,5,10
14521.0,27,16
14521.0,17,2
14522.0,22,13
14521.0,17,18
14522.0,0,29
14522.0,13,15
14521.0,0,1
14521.0,4,11
14521.0,8,18
14521.0,8,20
14521.0,21,2
14522.0,11,6
14521.0,9,9
14522.0,15,20
14522.0,20,8
14521.0,21,10
14521.0,14,3
14521.0,7,7
14521.0,1,13
14521.0,6,27
