Efficiency,EMAIL,PHONE,FACETOFACE,KNOWLEDGEBASE
14644.0,16,19,3,15
14645.0,15,0,23,20
14644.0,20,7,27,26
14645.0,25,16,16,3
14644.0,4,19,18,14
14645.0,25,3,17,24
14644.0,25,5,23,17
14644.0,15,1,25,29
14645.0,23,11,14,22
14644.0,22,9,5,4
14644.0,13,19,4,4
14644.0,26,10,25,23
14644.0,23,28,17,18
14644.0,18,5,25,27
14644.0,14,0,6,26
14644.0,4,15,2,0
14644.0,2,26,17,17
14643.0,28,14,14,18
14644.0,29,21,7,29
14645.0,12,20,27,29
14644.0,25,23,1,8
14644.0,1,16,24,27
14644.0,23,14,0,17
14644.0,12,22,2,8
14645.0,22,14,20,4
14643.0,2,22,24,11
14644.0,11,28,2,17
14645.0,25,26,25,3
14645.0,23,5,28,21
14644.0,14,19,3,9
14645.0,19,17,25,18
14645.0,24,17,2,19
14644.0,7,1,24,21
14644.0,2,8,2,1
14644.0,8,24,21,8
14644.0,4,10,1,4
14645.0,12,22,14,7
14645.0,24,9,12,12
14643.0,19,3,12,13
14644.0,21,4,20,27
14644.0,15,1,19,5
14645.0,9,17,29,2
14644.0,13,21,22,29
14644.0,10,19,16,23
14644.0,10,5,1,7
14644.0,4,4,20,27
14644.0,5,2,10,5
14644.0,13,19,26,13
14644.0,26,29,4,20
14644.0,5,26,27,21
14644.0,21,0,5,5
14644.0,6,15,17,22
14644.0,6,1,26,22
14644.0,9,17,26,27
14644.0,26,22,6,8
14644.0,27,23,11,20
14644.0,14,20,11,22
14645.0,11,25,10,23
14645.0,8,11,9,17
14644.0,23,22,22,25
14644.0,14,18,7,20
14645.0,6,14,21,14
14644.0,25,18,26,15
14645.0,10,8,9,6
14643.0,23,9,26,11
14645.0,20,19,3,12
14645.0,21,22,11,27
14644.0,6,28,7,5
14644.0,9,11,21,1
14644.0,17,8,9,12
14644.0,4,8,1,28
14644.0,27,15,18,21
14644.0,15,5,22,24
14645.0,24,15,23,27
14644.0,6,28,5,11
14645.0,26,16,0,28
14644.0,24,26,5,22
14644.0,1,18,9,26
14644.0,24,6,14,24
14644.0,23,1,7,2
14644.0,15,20,2,29
14644.0,29,9,23,23
14644.0,4,13,6,1
14645.0,26,9,19,8
14643.0,27,28,26,26
14645.0,9,9,21,25
14645.0,10,12,19,5
14645.0,13,29,12,6
14645.0,10,13,29,21
14644.0,12,14,6,12
14643.0,25,1,8,22
14644.0,3,24,6,20
14644.0,10,12,11,12
14645.0,24,12,13,12
14644.0,20,28,0,29
14643.0,18,18,28,17
14645.0,26,23,16,15
14645.0,13,28,23,18
14644.0,24,2,9,26
14644.0,1,14,16,11
