Efficiency,EMAIL,PHONE,FACETOFACE
8568.0,4,10,9
8088.0,23,6,7
7800.0,3,18,27
8254.0,17,28,1
7283.0,10,22,28
8312.0,15,13,4
6718.0,18,26,18
8004.0,23,2,25
7927.0,3,20,9
6518.0,29,21,19
7423.0,3,22,22
6661.0,28,23,29
7416.0,26,5,19
7193.0,11,17,17
7443.0,15,10,15
12033.0,4,4,0
10037.0,3,13,1
8377.0,27,2,8
8928.0,11,0,16
6527.0,28,29,14
9182.0,19,5,3
8728.0,10,27,1
8403.0,16,1,23
7661.0,6,29,9
6850.0,20,25,27
10446.0,22,1,1
7164.0,11,20,25
8392.0,19,12,3
8715.0,8,2,20
6745.0,20,19,19
6678.0,23,25,25
7882.0,13,6,22
8886.0,0,7,13
8293.0,9,5,15
9238.0,7,6,6
7819.0,23,28,2
8974.0,3,27,2
9047.0,24,6,2
7221.0,6,27,20
7177.0,14,14,22
6756.0,29,16,28
8457.0,11,3,24
7804.0,5,12,18
7578.0,10,13,26
7170.0,14,16,14
7082.0,14,29,28
6667.0,26,20,24
7467.0,17,9,26
7666.0,3,22,28
6698.0,25,20,14
7080.0,22,19,9
7561.0,15,13,10
6506.0,27,27,16
7302.0,19,9,21
10455.0,5,0,7
8335.0,6,7,14
7625.0,21,7,27
9277.0,17,9,1
6646.0,21,27,25
8069.0,13,6,13
9267.0,3,19,2
9584.0,3,15,2
9305.0,11,10,2
7336.0,8,20,26
7628.0,24,11,7
8178.0,18,2,16
8418.0,12,11,5
7353.0,25,8,27
9947.0,3,18,0
6647.0,28,26,11
7105.0,10,26,24
8061.0,29,0,18
8216.0,0,26,8
11496.0,4,1,3
8702.0,23,1,8
7671.0,7,15,27
7273.0,13,26,9
8128.0,10,7,13
10557.0,15,0,3
8394.0,11,25,2
8015.0,8,10,29
8930.0,3,6,29
9688.0,15,7,1
7405.0,9,27,10
6830.0,17,29,26
8461.0,2,7,18
7018.0,25,28,7
7904.0,4,16,29
7542.0,4,19,24
7211.0,9,28,26
7412.0,12,17,29
6931.0,25,15,12
9009.0,9,12,3
10893.0,4,1,5
7193.0,20,24,7
7950.0,23,3,13
9135.0,15,9,2
7189.0,20,11,22
9845.0,21,6,0
7449.0,16,10,26
7505.0,10,12,19
6954.0,16,22,13
6827.0,21,19,14
8029.0,7,15,8
6973.0,24,15,26
9806.0,2,0,24
6752.0,21,29,12
8444.0,11,3,25
7380.0,13,13,15
6903.0,21,21,11
7364.0,13,11,20
9384.0,2,2,24
7940.0,29,10,4
7103.0,22,11,16
8668.0,15,24,0
7574.0,19,7,23
8479.0,20,1,29
8911.0,0,22,4
8509.0,5,5,17
7334.0,25,21,5
7339.0,17,12,27
8178.0,5,12,10
9084.0,20,12,0
6711.0,24,22,13
8509.0,8,6,29
8151.0,5,22,6
9455.0,4,18,1
9115.0,11,19,0
7879.0,17,4,20
7188.0,29,7,18
7934.0,29,4,9
7272.0,18,16,10
6515.0,28,21,17
8264.0,15,2,22
8775.0,24,13,0
6575.0,27,20,20
7451.0,10,13,17
9011.0,0,19,4
9983.0,4,6,4
6819.0,17,25,25
7011.0,14,17,19
8581.0,2,9,11
7341.0,11,21,11
7109.0,12,19,15
7371.0,9,15,22
7875.0,4,16,28
6795.0,20,19,23
7610.0,13,12,11
7804.0,20,14,5
6512.0,25,27,23
8218.0,4,8,18
8028.0,16,5,13
7115.0,22,15,29
7071.0,24,11,15
7610.0,4,17,21
7598.0,21,10,9
6600.0,22,29,20
8073.0,19,4,29
7755.0,6,12,16
7816.0,6,17,10
8242.0,22,2,29
7173.0,19,16,29
7921.0,20,3,19
7763.0,12,8,24
6799.0,21,28,27
9183.0,29,1,4
6857.0,26,16,13
6980.0,11,29,16
8067.0,15,14,5
9252.0,20,8,1
6881.0,21,22,28
7546.0,15,13,10
6952.0,15,25,12
9883.0,8,13,0
6973.0,17,16,18
7940.0,0,15,20
8371.0,0,11,14
8774.0,12,19,1
6678.0,22,25,26
7974.0,29,0,21
7480.0,25,14,6
7332.0,27,9,11
7461.0,19,27,5
8048.0,8,11,10
8045.0,19,8,7
7560.0,17,8,26
6937.0,23,13,16
8409.0,15,28,1
6816.0,28,22,9
9492.0,1,26,1
7805.0,3,14,23
9300.0,1,12,5
6619.0,26,24,14
8508.0,10,7,8
8230.0,23,1,13
8461.0,19,24,0
8323.0,23,0,14
7403.0,25,24,4
9453.0,7,15,1
8034.0,24,2,13
7604.0,14,9,24
6955.0,24,14,25
7065.0,24,26,7
8732.0,6,4,25
8388.0,13,2,21
9360.0,3,2,26
7208.0,27,8,24
8023.0,20,4,29
6791.0,18,20,19
7359.0,17,11,24
8249.0,13,4,14
9875.0,2,16,1
7397.0,6,21,15
6709.0,29,15,22
6933.0,21,15,22
8275.0,5,11,10
7801.0,6,13,27
6509.0,25,27,18
8341.0,4,14,8
7437.0,2,24,21
6870.0,27,13,22
8314.0,9,5,25
7795.0,1,22,12
7919.0,9,21,6
7331.0,9,22,29
