Efficiency,EMAIL,PHONE,FACETOFACE
9600.0,26,7,7
8600.0,14,19,23
10752.0,11,2,3
9510.0,14,16,4
9495.0,28,14,5
8600.0,23,17,25
8421.0,19,20,20
8600.0,14,19,23
9646.0,24,1,27
10200.0,5,0,28
10673.0,14,2,3
9600.0,11,16,4
8658.0,12,17,13
9600.0,14,16,4
8464.0,14,20,20
8456.0,19,19,23
8415.0,19,20,20
8459.0,14,20,20
8518.0,14,19,23
9200.0,0,28,15
8456.0,14,20,20
8449.0,19,19,23
8414.0,19,20,20
9600.0,11,11,5
8474.0,19,19,23
9007.0,5,11,25
8448.0,14,20,20
8462.0,19,19,23
8465.0,19,19,23
9200.0,17,3,21
8401.0,19,20,20
9800.0,3,4,11
8455.0,14,20,20
8425.0,19,20,20
8421.0,19,20,20
8600.0,22,25,23
8526.0,17,26,19
10000.0,16,28,2
8600.0,29,17,20
9200.0,22,16,6
8721.0,19,19,11
8400.0,19,20,20
8400.0,19,20,20
9463.0,13,1,16
8600.0,18,12,21
8800.0,19,8,23
8800.0,3,23,19
8600.0,22,27,22
8415.0,19,20,20
8412.0,19,20,20
8416.0,19,20,20
8400.0,19,20,20
8400.0,19,20,20
8404.0,19,20,20
8418.0,19,20,20
8423.0,19,20,20
8400.0,19,20,20
8800.0,24,20,11
8400.0,19,20,20
8415.0,19,20,20
8875.0,11,8,18
9000.0,9,25,11
8400.0,19,20,20
8400.0,19,20,20
8400.0,19,20,20
8480.0,19,24,20
8871.0,7,21,28
8400.0,19,20,20
8412.0,19,20,20
8410.0,19,20,20
8436.0,19,20,20
8405.0,19,20,20
9811.0,2,2,24
8400.0,19,20,20
8912.0,17,9,27
8400.0,19,20,20
8402.0,19,20,20
8823.0,29,13,12
8413.0,19,20,20
10000.0,23,1,8
8422.0,19,20,20
8406.0,19,20,20
8410.0,19,20,20
9600.0,7,15,5
9800.0,27,26,3
9000.0,0,16,22
8423.0,19,20,20
8420.0,19,20,20
8406.0,19,20,20
9000.0,13,21,9
10200.0,8,22,1
8400.0,19,20,20
8431.0,19,20,20
8402.0,19,20,20
8422.0,19,20,20
8800.0,9,24,14
8812.0,29,9,22
8415.0,19,20,20
8404.0,19,20,20
8401.0,19,20,20
8400.0,19,20,20
8800.0,26,26,26
8424.0,19,20,20
8403.0,19,20,20
9804.0,7,8,6
8600.0,13,24,21
9800.0,18,11,3
8400.0,19,20,20
8423.0,19,20,20
9200.0,10,6,25
10000.0,6,21,2
8600.0,11,15,18
8600.0,23,24,24
8418.0,19,20,20
9600.0,23,2,11
8411.0,19,20,20
8430.0,19,20,20
8600.0,20,25,18
9600.0,22,0,15
8414.0,19,20,20
8430.0,19,20,20
8404.0,19,20,20
8418.0,19,20,20
8400.0,19,20,20
8658.0,14,19,27
9600.0,23,8,6
9000.0,12,7,23
8406.0,19,20,20
8420.0,19,20,20
8428.0,19,20,20
9401.0,14,26,5
9400.0,4,8,27
8421.0,19,20,20
8400.0,19,20,20
8423.0,19,20,20
8400.0,19,20,20
9235.0,26,7,10
8400.0,19,20,20
8419.0,19,20,20
8401.0,19,20,20
8413.0,19,20,20
8400.0,19,20,20
8417.0,19,20,20
9002.0,27,19,8
8420.0,19,20,20
8400.0,19,20,20
8418.0,19,20,20
8408.0,19,20,20
9220.0,19,6,29
8424.0,19,20,20
10112.0,28,8,3
9815.0,13,9,4
8410.0,19,20,20
8415.0,19,20,20
8401.0,19,20,20
8800.0,26,25,27
8409.0,19,20,20
8413.0,19,20,20
8421.0,19,20,20
9800.0,2,3,13
9640.0,0,6,26
8408.0,19,20,20
9665.0,3,2,18
8426.0,19,20,20
8427.0,19,20,20
8405.0,19,20,20
8433.0,19,20,20
8413.0,19,20,20
8406.0,19,20,20
8520.0,14,16,18
8400.0,19,20,20
8418.0,19,20,20
9400.0,17,11,6
8407.0,19,20,20
8420.0,19,20,20
9924.0,2,1,23
8913.0,18,9,27
8404.0,19,20,20
8422.0,19,20,20
8418.0,19,20,20
8402.0,19,20,20
9645.0,16,0,26
8422.0,19,20,20
8403.0,19,20,20
8800.0,15,10,25
10400.0,28,5,3
10162.0,16,5,4
8414.0,19,20,20
8425.0,19,20,20
8411.0,19,20,20
8600.0,24,22,16
8498.0,13,23,18
8658.0,8,24,17
8403.0,19,20,20
8406.0,19,20,20
8400.0,19,20,20
9800.0,14,3,8
9200.0,2,29,14
8800.0,18,23,29
8416.0,19,20,20
9000.0,6,21,11
8422.0,19,20,20
8426.0,19,20,20
8413.0,19,20,20
8800.0,20,9,17
8422.0,19,20,20
8417.0,19,20,20
8400.0,19,20,20
9633.0,20,25,3
9318.0,8,7,28
8404.0,19,20,20
8409.0,19,20,20
8413.0,19,20,20
11283.0,6,5,0
8409.0,19,20,20
10140.0,21,11,1
8402.0,19,20,20
8417.0,19,20,20
8800.0,9,27,16
9501.0,6,15,6
8427.0,19,20,20
8445.0,19,20,20
8415.0,19,20,20
8441.0,19,20,20
8423.0,19,20,20
8810.0,29,23,28
8402.0,19,20,20
8405.0,19,20,20
8435.0,19,20,20
11264.0,5,2,2
8413.0,19,20,20
8409.0,19,20,20
8426.0,19,20,20
9000.0,28,7,16
10072.0,10,23,1
9200.0,0,13,14
8409.0,19,20,20
8401.0,19,20,20
8503.0,15,23,19
8421.0,19,20,20
11481.0,29,2,0
8431.0,19,20,20
8419.0,19,20,20
9081.0,25,13,8
8424.0,19,20,20
9813.0,21,14,2
8416.0,19,20,20
8429.0,19,20,20
8421.0,19,20,20
8412.0,19,20,20
9000.0,15,18,8
8902.0,14,7,22
8412.0,19,20,20
8405.0,19,20,20
8689.0,24,18,12
8429.0,19,20,20
8400.0,19,20,20
10400.0,12,9,1
8402.0,19,20,20
8415.0,19,20,20
9400.0,19,24,5
8674.0,27,29,20
8634.0,28,12,20
8423.0,19,20,20
8423.0,19,20,20
8409.0,19,20,20
8423.0,19,20,20
8600.0,19,17,26
8483.0,14,22,18
8638.0,11,23,25
8404.0,19,20,20
8400.0,19,20,20
8852.0,4,22,25
8413.0,19,20,20
9200.0,5,9,26
8412.0,19,20,20
8403.0,19,20,20
8415.0,19,20,20
8643.0,7,18,18
8400.0,19,20,20
8400.0,19,20,20
8420.0,19,20,20
9600.0,4,6,29
8718.0,24,28,25
9231.0,15,10,8
9800.0,4,1,22
8434.0,19,20,20
8414.0,19,20,20
8400.0,19,20,20
9440.0,5,13,7
8403.0,19,20,20
8400.0,19,20,20
8417.0,19,20,20
8414.0,19,20,20
8423.0,19,20,20
8418.0,19,20,20
8432.0,19,20,20
8874.0,17,11,28
10429.0,1,0,29
9400.0,1,10,27
8400.0,19,20,20
8429.0,19,20,20
8409.0,19,20,20
8415.0,19,20,20
8424.0,19,20,20
8413.0,19,20,20
9000.0,19,8,13
8400.0,19,20,20
8420.0,19,20,20
8415.0,19,20,20
8630.0,21,25,26
9600.0,6,21,5
8415.0,19,20,20
8422.0,19,20,20
8403.0,19,20,20
8412.0,19,20,20
8434.0,19,20,20
8418.0,19,20,20
9823.0,26,7,5
9800.0,2,3,26
10400.0,6,26,1
9048.0,16,7,27
9000.0,7,8,18
8425.0,19,20,20
8406.0,19,20,20
8426.0,19,20,20
10000.0,15,24,1
10000.0,11,14,2
8400.0,19,20,20
8400.0,19,20,20
8417.0,19,20,20
8412.0,19,20,20
10301.0,26,25,0
8600.0,12,16,22
8401.0,19,20,20
8800.0,12,22,11
8405.0,19,20,20
8410.0,19,20,20
9410.0,13,2,15
8414.0,19,20,20
9313.0,20,8,8
8410.0,19,20,20
9000.0,24,7,14
8422.0,19,20,20
8420.0,19,20,20
8415.0,19,20,20
8418.0,19,20,20
8421.0,19,20,20
8400.0,19,20,20
8408.0,19,20,20
8413.0,19,20,20
8416.0,19,20,20
8405.0,19,20,20
10459.0,29,11,0
9434.0,27,1,17
8406.0,19,20,20
8418.0,19,20,20
8400.0,19,20,20
8431.0,19,20,20
8600.0,21,13,15
9600.0,14,22,3
8400.0,19,20,20
8400.0,19,20,20
8417.0,19,20,20
10400.0,1,16,2
8654.0,12,28,21
8800.0,15,28,13
9200.0,4,25,10
8407.0,19,20,20
8400.0,19,20,20
8430.0,19,20,20
8414.0,19,20,20
8600.0,10,16,20
8662.0,28,27,21
8420.0,19,20,20
8400.0,19,20,20
8421.0,19,20,20
8424.0,16,21,18
9658.0,22,0,26
8800.0,18,22,29
8694.0,7,25,19
8422.0,19,20,20
8407.0,19,20,20
8419.0,19,20,20
11200.0,4,3,2
8415.0,19,20,20
8423.0,19,20,20
9507.0,13,0,19
8435.0,19,20,20
8400.0,19,20,20
8800.0,29,22,28
9000.0,5,20,28
8415.0,19,20,20
8408.0,19,20,20
8686.0,21,12,25
8410.0,19,20,20
8418.0,19,20,20
8400.0,19,20,20
8417.0,19,20,20
8418.0,19,20,20
8421.0,19,20,20
8400.0,19,20,20
8405.0,19,20,20
10907.0,17,5,0
8400.0,19,20,20
9484.0,23,24,4
8500.0,14,18,23
10011.0,7,16,2
8400.0,19,20,20
8406.0,19,20,20
8410.0,19,20,20
10054.0,13,14,1
8600.0,13,16,18
8600.0,25,24,15
8429.0,19,20,20
8409.0,19,20,20
9000.0,4,25,13
8665.0,24,28,16
8600.0,12,15,22
8403.0,19,20,20
8600.0,25,23,23
8408.0,19,20,20
8409.0,19,20,20
8423.0,19,20,20
8423.0,19,20,20
8400.0,19,20,20
8433.0,19,20,20
9000.0,0,16,18
8400.0,19,20,20
8400.0,19,20,20
8409.0,19,20,20
8800.0,24,9,17
8609.0,22,20,27
8423.0,19,20,20
8409.0,19,20,20
8408.0,19,20,20
8411.0,19,20,20
8402.0,19,20,20
8417.0,19,20,20
8414.0,19,20,20
8813.0,28,27,13
8805.0,10,10,23
8400.0,19,20,20
8405.0,19,20,20
8410.0,19,20,20
8421.0,19,20,20
8618.0,7,20,21
8401.0,19,20,20
8418.0,19,20,20
9000.0,18,10,29
10010.0,1,10,6
9662.0,28,20,3
10488.0,3,25,1
8414.0,19,20,20
8400.0,19,20,20
9916.0,10,22,2
9200.0,10,12,9
8421.0,19,20,20
8428.0,18,21,18
8422.0,19,20,20
8400.0,19,20,20
10680.0,1,26,1
10322.0,23,12,0
8800.0,26,12,25
8410.0,19,20,20
8420.0,19,20,20
8431.0,19,20,20
8410.0,19,20,20
10450.0,10,1,6
9689.0,19,26,3
8600.0,16,21,26
8400.0,19,20,20
8406.0,19,20,20
10268.0,1,1,11
8617.0,13,12,18
8400.0,19,20,20
8433.0,19,20,20
8400.0,19,20,20
9600.0,4,15,6
8425.0,19,20,20
8403.0,19,20,20
8400.0,19,20,20
8400.0,19,20,20
9823.0,10,13,3
8832.0,12,10,14
8426.0,19,20,20
8422.0,19,20,20
8400.0,19,20,20
9319.0,10,29,8
9000.0,6,8,20
9852.0,6,8,6
8413.0,19,20,20
8414.0,19,20,20
9200.0,3,24,29
8400.0,19,20,20
9400.0,20,19,4
8412.0,19,20,20
8410.0,19,20,20
8412.0,19,20,20
8400.0,19,20,20
8600.0,23,13,17
8427.0,19,20,20
