Efficiency,EMAIL,PHONE
10225.0,16,25
10252.0,12,23
11013.0,1,29
11111.0,7,6
10484.0,12,29
10400.0,17,28
10200.0,19,24
11007.0,1,29
11037.0,1,29
10200.0,16,25
10129.0,19,17
10350.0,16,28
10208.0,17,25
10138.0,19,17
10211.0,17,25
10219.0,12,23
10218.0,16,25
10209.0,17,25
11231.0,3,7
10136.0,17,23
10400.0,27,13
10213.0,17,25
10134.0,17,17
10200.0,19,25
10800.0,12,7
10128.0,19,17
10200.0,19,25
10493.0,11,11
10200.0,17,23
10131.0,17,17
10139.0,19,17
10134.0,17,17
10200.0,17,23
10112.0,19,17
10148.0,17,17
10142.0,16,18
10114.0,19,17
11103.0,3,8
10222.0,21,26
11056.0,24,4
10126.0,19,17
10129.0,19,17
10465.0,28,11
10123.0,19,17
10127.0,19,17
10600.0,4,17
10122.0,19,17
10326.0,29,15
10133.0,19,17
10132.0,19,17
10134.0,19,17
10116.0,19,17
10201.0,29,21
10133.0,19,17
10127.0,19,17
10138.0,19,17
10453.0,6,16
10200.0,19,17
10138.0,19,17
10135.0,19,17
10127.0,19,17
10809.0,14,6
10537.0,7,14
10200.0,19,17
10125.0,19,17
10235.0,11,23
10088.0,19,17
10132.0,19,17
10125.0,19,17
11600.0,19,0
10105.0,19,17
10136.0,19,17
10128.0,19,17
10137.0,19,17
10134.0,19,17
11004.0,5,8
10551.0,4,21
10123.0,19,17
10130.0,19,17
11173.0,8,5
10130.0,19,17
10800.0,0,19
10142.0,19,17
10129.0,19,17
10115.0,19,17
11459.0,19,1
10127.0,19,17
10137.0,19,17
10136.0,19,17
11513.0,0,7
10284.0,26,25
10121.0,19,17
10144.0,19,17
10107.0,19,17
10100.0,20,20
10417.0,18,10
10129.0,19,17
10200.0,19,17
10291.0,27,14
11323.0,11,3
10400.0,10,14
10121.0,19,17
10200.0,19,17
10127.0,19,17
10800.0,13,7
10200.0,19,17
10123.0,19,17
10600.0,16,8
10085.0,20,20
10078.0,20,20
10098.0,22,18
10471.0,7,15
10124.0,20,17
10076.0,19,20
10069.0,19,20
10668.0,8,10
10086.0,19,20
10109.0,20,17
10077.0,19,20
10077.0,19,20
10200.0,14,19
10600.0,28,9
10081.0,19,20
10067.0,19,20
10074.0,19,20
10600.0,9,11
10082.0,19,20
10081.0,19,20
10600.0,4,18
10800.0,2,26
10074.0,19,20
10077.0,19,20
10699.0,2,17
10122.0,21,18
10316.0,8,21
10059.0,19,20
11169.0,6,6
10055.0,19,20
10069.0,19,20
11431.0,2,6
10870.0,4,29
10084.0,19,20
10079.0,19,20
10066.0,19,20
10079.0,19,20
10891.0,2,27
10200.0,17,23
10515.0,6,15
10097.0,19,20
10076.0,19,20
11400.0,6,4
10087.0,19,20
10055.0,19,20
10066.0,19,20
10093.0,19,20
10064.0,19,20
10600.0,10,10
10464.0,17,10
10079.0,19,20
10079.0,19,20
10529.0,5,22
11758.0,13,0
11342.0,23,2
10820.0,6,9
11000.0,4,9
10075.0,19,20
10071.0,19,20
11823.0,7,1
10067.0,19,20
10200.0,21,24
10096.0,19,20
10080.0,19,20
10600.0,3,16
10086.0,19,20
10400.0,28,13
10065.0,19,20
10075.0,19,20
10067.0,19,20
11084.0,15,4
10344.0,25,12
11834.0,2,3
10067.0,19,20
10600.0,8,12
10080.0,19,20
10058.0,19,20
10251.0,22,13
11600.0,11,1
10083.0,19,20
10067.0,19,20
10086.0,19,20
10075.0,19,20
11338.0,23,2
11600.0,8,2
10081.0,19,20
10058.0,19,20
10066.0,19,20
10072.0,19,20
11511.0,25,1
10067.0,19,20
10065.0,19,20
10236.0,18,13
11200.0,2,8
10082.0,18,20
10057.0,19,20
10066.0,19,20
10067.0,19,20
10066.0,19,20
10068.0,19,20
11200.0,16,3
10068.0,19,20
10088.0,19,20
10408.0,27,28
10082.0,19,20
10079.0,19,20
10200.0,26,19
10646.0,3,24
10043.0,19,20
10056.0,19,20
10078.0,19,20
10079.0,19,20
10920.0,1,13
10400.0,21,11
10068.0,19,20
10054.0,19,20
10084.0,19,20
11122.0,13,4
10078.0,19,20
10091.0,19,20
10065.0,19,20
10237.0,29,22
10400.0,13,28
11732.0,26,0
11400.0,9,3
11341.0,23,2
10082.0,19,20
10069.0,19,20
10600.0,14,9
11424.0,2,6
10075.0,19,20
10062.0,19,20
10065.0,19,20
10117.0,22,21
10074.0,19,20
10076.0,19,20
10075.0,19,20
10079.0,19,20
10346.0,16,12
10087.0,19,20
11484.0,5,4
10087.0,19,20
10065.0,19,20
10702.0,23,7
10071.0,19,20
10312.0,16,27
10075.0,19,20
10600.0,9,11
10062.0,19,20
10073.0,19,20
10200.0,16,23
10840.0,13,6
10216.0,28,19
11552.0,1,6
10200.0,21,16
10097.0,19,20
10079.0,19,20
10073.0,19,20
10086.0,19,20
11600.0,4,4
10085.0,19,20
10072.0,19,20
10067.0,19,20
10069.0,19,20
10086.0,19,20
11674.0,7,2
10094.0,19,20
10355.0,19,11
10072.0,19,20
10080.0,19,20
10080.0,19,20
10077.0,19,20
10600.0,25,9
10200.0,28,18
10128.0,19,22
10059.0,19,20
10092.0,19,20
10075.0,19,20
10331.0,28,14
10080.0,19,20
10065.0,19,20
10200.0,24,22
10060.0,19,20
10800.0,7,9
11000.0,17,4
11254.0,12,3
10090.0,19,20
10090.0,19,20
10262.0,27,14
10544.0,12,10
10400.0,13,11
10079.0,19,20
10094.0,19,20
10064.0,19,20
10098.0,20,20
10073.0,19,20
10081.0,19,20
10067.0,19,20
10082.0,19,20
