Efficiency,EMAIL,KNOWLEDGEBASE
9600.0,27,17
10600.0,21,5
9660.0,15,14
10322.0,26,7
9716.0,25,26
9800.0,17,27
11200.0,4,4
9611.0,10,21
9676.0,15,14
10321.0,26,7
9513.0,21,17
10636.0,27,5
10600.0,10,6
10400.0,8,8
9441.0,21,21
9600.0,10,17
9609.0,10,17
9609.0,10,21
9655.0,15,14
9628.0,10,21
9463.0,21,21
9600.0,10,20
9463.0,21,21
9600.0,24,24
9484.0,21,17
9600.0,27,17
12103.0,2,1
9469.0,21,17
9459.0,21,21
9445.0,21,21
10200.0,5,28
10468.0,4,9
10946.0,19,3
9473.0,21,17
9454.0,21,21
9447.0,21,21
9444.0,21,21
10000.0,2,19
9600.0,25,21
9480.0,21,21
9455.0,21,21
9460.0,21,21
9472.0,21,21
9705.0,25,26
9442.0,21,21
9462.0,21,21
9470.0,21,21
9450.0,21,21
9446.0,21,21
10000.0,28,10
9468.0,21,21
9459.0,21,21
9514.0,17,17
9466.0,21,21
9443.0,21,21
9600.0,27,18
9466.0,21,21
9452.0,21,21
9527.0,21,22
9455.0,21,21
9465.0,21,21
10616.0,9,6
9673.0,11,24
9931.0,4,16
9600.0,14,23
9600.0,12,18
11539.0,27,1
9450.0,21,21
9454.0,21,21
9465.0,21,21
9882.0,10,12
9456.0,21,21
9438.0,20,20
9444.0,21,21
9452.0,21,21
9481.0,17,19
9460.0,21,21
10336.0,2,28
9462.0,21,21
9457.0,21,21
9457.0,21,21
9446.0,21,21
9442.0,21,21
9600.0,20,22
9442.0,20,20
9460.0,20,20
9492.0,21,21
9806.0,5,18
9460.0,21,21
9443.0,21,21
9425.0,20,20
10880.0,4,6
9600.0,29,20
9432.0,21,20
9475.0,20,21
9467.0,21,20
9447.0,20,20
9437.0,20,20
11695.0,4,2
9541.0,14,18
9546.0,21,16
9458.0,21,20
9463.0,20,21
10882.0,7,5
9472.0,21,20
10003.0,8,28
9451.0,21,21
9450.0,21,20
9448.0,20,20
9433.0,20,20
10000.0,2,22
10016.0,2,17
9503.0,17,17
9456.0,21,20
9449.0,20,20
11419.0,14,1
9426.0,20,20
9445.0,21,20
11031.0,4,5
9627.0,9,19
9439.0,20,20
9446.0,20,20
9418.0,20,20
9800.0,7,24
10815.0,12,4
9654.0,9,22
9439.0,20,20
9445.0,20,20
9452.0,20,20
9431.0,20,20
10409.0,22,6
9830.0,6,23
10600.0,6,7
9480.0,21,20
9433.0,20,20
9436.0,20,20
9825.0,26,28
9477.0,17,22
9443.0,20,20
9439.0,20,20
9457.0,20,20
9800.0,28,26
9460.0,20,20
9427.0,20,20
9438.0,20,20
9452.0,20,20
10000.0,7,13
9420.0,20,20
9430.0,20,20
9600.0,28,20
9438.0,20,20
9450.0,20,20
9600.0,10,17
9464.0,20,20
9456.0,20,20
9444.0,20,20
9427.0,20,20
9623.0,16,14
9873.0,22,29
9600.0,13,16
9452.0,20,20
9445.0,20,20
10200.0,3,12
9600.0,11,17
9632.0,12,24
9448.0,20,20
9448.0,20,20
9600.0,19,24
9448.0,20,20
9443.0,20,20
9600.0,14,16
10140.0,18,8
9443.0,20,20
9449.0,20,20
10000.0,12,10
11311.0,29,2
9436.0,20,20
9460.0,20,20
10200.0,5,11
9432.0,20,20
9419.0,20,20
9445.0,20,20
9600.0,26,18
9836.0,12,12
9440.0,20,20
9453.0,20,20
9600.0,24,24
9600.0,22,24
9441.0,20,20
9447.0,20,20
9429.0,20,20
9428.0,20,20
10400.0,27,7
9445.0,20,20
9424.0,20,20
9442.0,20,20
9431.0,20,20
9600.0,12,21
9724.0,8,23
9444.0,20,20
9806.0,22,11
9431.0,20,20
9447.0,20,20
9434.0,20,20
11315.0,29,2
10000.0,9,28
9800.0,7,23
9600.0,15,15
9423.0,20,20
9441.0,20,20
9434.0,20,20
9433.0,20,20
9600.0,11,17
9435.0,20,20
9433.0,20,20
9849.0,8,26
