Efficiency,EMAIL,PHONE,FACETOFACE
8950.0,5,16,13
11158.0,4,7,0
8600.0,24,19,15
9938.0,10,3,8
9600.0,20,0,14
9000.0,19,6,16
8800.0,29,29,24
8639.0,12,25,24
10013.0,1,15,4
8918.0,2,17,24
9600.0,20,2,28
9540.0,2,4,22
8800.0,28,11,16
8501.0,13,18,22
9689.0,12,2,11
9889.0,15,6,5
10020.0,0,20,4
10600.0,7,2,5
9000.0,13,28,29
8840.0,3,15,21
9274.0,4,28,10
8630.0,21,22,27
8800.0,9,27,15
8839.0,13,12,12
9200.0,29,7,13
9491.0,2,26,8
9645.0,18,7,6
9256.0,22,5,28
9600.0,10,1,15
8606.0,16,24,14
10208.0,26,3,5
9812.0,24,24,2
8634.0,28,23,25
9005.0,17,6,14
10200.0,23,0,8
9000.0,6,11,14
8711.0,20,12,14
8800.0,23,24,29
8800.0,5,25,22
9262.0,1,8,21
8630.0,24,18,27
8602.0,29,26,20
8875.0,29,9,16
9439.0,23,8,7
9000.0,29,8,14
9200.0,10,28,9
8505.0,15,21,23
9879.0,23,13,2
10200.0,3,12,3
8507.0,17,20,24
8855.0,27,28,27
8620.0,12,27,19
9245.0,28,9,9
9055.0,1,12,16
10292.0,19,12,0
8715.0,10,13,24
9800.0,23,0,27
8864.0,14,9,25
11927.0,1,3,0
8800.0,13,18,29
12600.0,0,0,0
9470.0,28,3,27
9400.0,5,6,13
8800.0,12,12,15
9000.0,9,14,29
8424.0,17,21,20
10088.0,26,14,1
8600.0,23,13,21
9000.0,17,29,11
8722.0,6,21,15
8904.0,2,17,15
8600.0,16,27,18
9731.0,23,4,8
9400.0,20,24,5
9274.0,25,6,29
9000.0,14,7,15
8849.0,28,11,13
10600.0,25,3,3
9249.0,26,6,29
8607.0,10,17,24
9200.0,15,17,6
8522.0,18,22,16
9502.0,27,19,4
9033.0,14,29,10
8600.0,20,28,19
10017.0,11,19,1
9850.0,23,25,2
9883.0,21,4,6
8816.0,11,20,29
8600.0,19,24,24
8858.0,8,10,23
8800.0,22,13,27
8870.0,10,24,28
8487.0,16,19,23
9036.0,20,4,20
9200.0,3,8,20
8645.0,22,10,21
10025.0,7,28,3
9400.0,18,1,22
9023.0,10,7,24
9400.0,22,13,5
10112.0,16,7,3
9400.0,5,6,14
8890.0,29,21,10
8600.0,13,19,22
8624.0,15,16,26
8664.0,28,16,26
10028.0,3,12,4
9200.0,14,21,6
8600.0,25,15,17
8637.0,15,15,26
9200.0,23,6,11
9200.0,2,22,29
9200.0,11,28,9
8800.0,3,20,23
8600.0,16,23,25
8912.0,28,12,28
8730.0,23,11,15
10200.0,15,6,3
9800.0,25,1,11
9000.0,15,8,26
9529.0,9,25,5
9012.0,1,20,14
8850.0,8,12,25
9426.0,1,19,8
8510.0,19,24,16
9400.0,14,23,5
9479.0,10,28,6
9030.0,1,21,26
9200.0,25,6,27
9085.0,1,11,21
8600.0,22,24,24
8800.0,25,22,11
9013.0,10,23,9
9400.0,26,27,6
8619.0,21,28,16
10141.0,19,2,6
8814.0,22,11,27
10680.0,17,5,1
10240.0,29,12,1
9821.0,0,4,26
8600.0,27,25,16
9214.0,28,14,7
8600.0,25,14,23
8800.0,28,26,13
9000.0,0,20,19
10426.0,2,1,9
9292.0,0,19,10
8600.0,21,12,18
10200.0,12,2,6
9000.0,4,23,27
8800.0,17,9,15
9432.0,14,7,8
9400.0,16,25,5
8899.0,22,7,16
8600.0,14,26,21
9641.0,7,26,5
9800.0,29,23,3
8708.0,16,14,27
9021.0,11,6,17
8492.0,17,16,16
10210.0,3,3,8
11010.0,22,4,0
8849.0,11,26,12
9298.0,14,3,24
8800.0,25,25,11
9000.0,13,6,21
9200.0,4,25,29
8800.0,20,26,12
10128.0,6,0,11
8800.0,8,12,19
9025.0,2,21,27
9722.0,2,9,8
8800.0,8,23,13
9200.0,8,6,23
8600.0,12,20,19
9648.0,8,12,5
9600.0,7,29,7
9400.0,5,5,24
8452.0,21,21,17
9200.0,28,25,7
9600.0,27,1,13
10661.0,24,2,3
8927.0,16,7,16
9400.0,26,1,19
8667.0,23,10,18
9200.0,8,5,18
8843.0,24,7,20
9000.0,5,10,18
9000.0,2,18,25
8829.0,27,11,13
9400.0,19,18,4
9475.0,22,3,11
8872.0,1,18,21
10200.0,7,12,2
8838.0,15,7,18
8800.0,20,9,17
8904.0,25,28,28
10200.0,1,3,10
8800.0,5,17,15
9400.0,2,6,21
8800.0,14,24,12
9800.0,6,5,9
8646.0,9,17,15
9081.0,3,28,25
9800.0,13,0,26
8878.0,28,29,13
9000.0,22,6,23
8489.0,26,16,19
10738.0,10,6,1
8489.0,19,15,22
9600.0,11,5,9
10400.0,3,4,6
9600.0,28,8,7
9000.0,14,6,23
9600.0,1,7,12
9020.0,4,27,26
10230.0,19,7,2
8800.0,5,14,20
9400.0,26,7,9
9200.0,0,28,23
9454.0,6,22,6
8606.0,24,23,26
8656.0,27,11,19
8651.0,10,14,23
10600.0,2,26,1
10224.0,29,21,0
8600.0,14,23,24
8600.0,24,19,24
9487.0,16,4,10
8844.0,20,9,14
9635.0,28,3,29
9700.0,14,1,28
8654.0,15,24,13
8600.0,18,22,15
8458.0,17,19,16
10000.0,26,5,5
10000.0,4,22,3
10668.0,14,2,3
10600.0,6,26,0
9000.0,1,15,18
8824.0,18,9,14
8810.0,10,9,21
8887.0,16,13,29
10823.0,24,2,2
10261.0,12,15,0
9042.0,14,12,9
8600.0,22,14,14
9600.0,22,27,4
8800.0,16,27,12
9067.0,10,19,8
9200.0,9,29,10
9552.0,23,13,4
8870.0,26,8,22
10000.0,8,17,2
8800.0,21,16,11
9056.0,10,8,13
10140.0,5,7,5
8800.0,5,23,22
9200.0,7,6,15
8800.0,11,15,26
8602.0,8,19,23
9540.0,11,19,4
8492.0,23,18,23
8800.0,20,15,29
8878.0,8,26,27
9000.0,5,21,11
8800.0,17,18,10
9000.0,25,21,8
9529.0,18,7,7
8848.0,26,14,11
10800.0,0,13,1
10089.0,0,24,4
8684.0,12,12,24
9070.0,8,28,11
9542.0,7,4,27
10307.0,22,9,1
9425.0,7,3,16
8800.0,4,24,21
8800.0,27,27,13
8428.0,21,17,19
9000.0,28,10,12
9621.0,24,0,25
9050.0,26,7,26
9116.0,4,18,10
9717.0,9,1,26
8600.0,12,21,15
8800.0,3,21,21
9600.0,24,3,29
9600.0,3,21,6
9400.0,21,14,5
8896.0,15,21,9
8800.0,8,26,16
10845.0,8,1,4
9872.0,6,5,8
9040.0,16,21,7
8493.0,17,23,22
9441.0,23,17,4
9800.0,23,1,10
10000.0,9,24,2
11600.0,6,1,1
8665.0,17,16,12
10400.0,19,1,5
10031.0,20,4,5
10521.0,28,0,6
9128.0,29,12,9
8600.0,15,15,17
9200.0,6,28,11
9137.0,29,29,10
9200.0,11,7,28
9800.0,27,3,9
10121.0,22,22,0
9525.0,3,7,28
8600.0,27,25,17
9200.0,1,10,16
8600.0,20,21,14
9297.0,6,5,23
10714.0,0,0,9
9400.0,15,3,13
8856.0,26,9,25
8800.0,13,25,12
8682.0,16,15,27
8919.0,29,15,29
10000.0,10,13,2
8648.0,21,12,15
9015.0,6,17,10
8513.0,27,21,17
8800.0,19,9,20
8893.0,14,25,10
9293.0,17,2,21
8460.0,17,19,22
9707.0,5,2,14
9239.0,13,5,27
9080.0,17,4,21
8672.0,16,27,15
8664.0,24,29,22
8600.0,15,14,19
10152.0,7,6,5
8800.0,10,24,13
8498.0,25,23,19
8600.0,19,21,26
9800.0,4,4,29
8647.0,21,10,19
9800.0,6,0,16
8634.0,11,22,25
9800.0,2,27,6
9200.0,17,19,6
8660.0,21,27,25
9000.0,3,12,19
8600.0,16,16,24
9000.0,19,26,9
9200.0,11,12,8
8661.0,11,27,19
8658.0,21,20,28
9124.0,5,11,12
9258.0,16,6,29
8600.0,25,16,25
8742.0,24,22,11
9000.0,5,10,22
9000.0,0,20,24
9200.0,17,27,7
10800.0,9,6,1
8600.0,19,27,18
8866.0,23,13,29
9039.0,3,10,20
11000.0,0,26,0
9736.0,3,5,11
10288.0,24,0,7
10000.0,4,15,3
9855.0,5,7,7
9800.0,10,24,3
9001.0,7,7,19
8875.0,6,25,26
8874.0,17,8,15
9400.0,13,12,6
9400.0,2,29,29
8600.0,26,23,15
9000.0,6,26,27
8800.0,9,29,23
8670.0,29,24,15
10000.0,9,23,2
9600.0,3,7,29
8600.0,13,26,18
8650.0,27,28,19
9041.0,24,28,9
8600.0,25,26,19
10200.0,18,6,3
8660.0,18,23,27
9618.0,12,8,6
8800.0,28,21,28
9896.0,17,19,1
9000.0,5,15,13
9467.0,6,5,27
8800.0,27,23,11
8897.0,12,15,10
8654.0,13,28,17
9068.0,5,12,27
8600.0,10,16,22
11110.0,25,2,1
8600.0,16,23,23
9606.0,18,23,3
8800.0,5,14,21
8828.0,17,7,18
10881.0,2,12,0
9232.0,18,2,19
9401.0,13,1,20
10646.0,3,24,0
8622.0,13,19,13
10000.0,24,19,1
8605.0,24,26,24
11200.0,8,3,1
10063.0,1,6,8
8818.0,5,14,24
9600.0,16,0,16
8857.0,29,24,11
9327.0,22,10,7
10043.0,10,20,1
8800.0,6,25,19
9117.0,6,21,9
9117.0,3,28,26
8881.0,3,15,23
8800.0,25,15,29
9000.0,21,22,8
10918.0,3,29,0
8600.0,25,22,14
9000.0,0,17,23
8600.0,20,19,14
9740.0,11,17,3
9241.0,5,22,8
8800.0,19,14,11
9011.0,29,29,11
9883.0,28,16,2
9800.0,10,7,6
8833.0,24,10,13
9113.0,16,5,25
8906.0,8,24,28
9000.0,9,23,10
8669.0,16,27,25
9317.0,10,19,6
9400.0,26,10,7
10712.0,23,5,1
10200.0,24,2,6
8600.0,20,14,22
9056.0,21,17,7
8600.0,21,25,18
8898.0,23,12,29
8600.0,20,28,17
9303.0,17,6,10
9295.0,7,21,7
9272.0,7,22,7
8843.0,27,26,11
9439.0,5,25,7
8891.0,2,15,18
9227.0,15,24,6
9000.0,15,26,9
9486.0,4,8,10
9800.0,23,21,2
9000.0,5,20,29
8930.0,3,16,14
8851.0,7,22,27
9095.0,14,9,29
8859.0,26,14,11
8451.0,16,16,19
9200.0,17,3,22
9919.0,21,27,2
9022.0,26,5,20
9000.0,3,11,22
10624.0,0,11,2
8600.0,24,27,22
10820.0,8,1,4
9000.0,10,14,10
8800.0,18,15,28
9000.0,6,18,29
8800.0,4,15,21
8603.0,8,16,21
10242.0,10,21,0
8600.0,14,27,20
10716.0,4,1,6
9400.0,15,2,15
8611.0,8,23,19
9036.0,20,20,7
9525.0,19,2,12
11000.0,25,5,0
8600.0,25,25,22
9048.0,3,28,24
10633.0,18,2,3
8800.0,28,13,14
9000.0,3,11,23
8665.0,10,27,18
9884.0,24,26,2
8885.0,15,7,17
9400.0,9,14,6
8442.0,23,18,18
9200.0,11,16,7
8800.0,29,25,13
8644.0,13,12,23
9271.0,26,8,9
9200.0,16,23,6
8600.0,24,13,18
9846.0,15,25,2
10000.0,4,24,3
10032.0,1,29,5
8826.0,10,14,12
11307.0,2,5,1
10298.0,3,25,2
9280.0,20,13,6
8480.0,19,22,23
8600.0,25,17,23
8800.0,19,8,21
8800.0,15,9,24
8800.0,27,17,28
10525.0,4,19,0
9400.0,21,29,6
8600.0,17,24,25
8635.0,17,25,26
8821.0,6,15,25
8800.0,9,20,26
9603.0,4,14,6
9511.0,24,0,22
8873.0,17,18,9
8866.0,21,27,11
9800.0,18,15,2
8638.0,9,22,15
9341.0,17,5,29
8800.0,16,29,15
8636.0,14,16,13
8885.0,27,13,11
8800.0,23,18,10
8859.0,3,25,22
9200.0,8,9,28
9200.0,12,6,26
8600.0,12,20,16
8600.0,10,19,19
8842.0,10,26,12
9690.0,12,28,4
9095.0,6,7,17
8612.0,28,26,19
10200.0,12,9,2
9529.0,5,27,7
9000.0,19,11,29
9653.0,9,2,27
9219.0,9,17,7
8694.0,6,23,20
9000.0,21,9,12
8879.0,7,18,12
10058.0,3,23,3
9400.0,25,17,5
10899.0,17,3,1
8628.0,14,28,19
10332.0,15,27,0
9200.0,18,15,6
8800.0,14,19,11
9115.0,3,28,26
9625.0,29,29,5
9350.0,3,20,8
9056.0,11,29,29
8800.0,27,10,18
9000.0,6,11,26
8800.0,27,22,28
8725.0,9,21,26
9639.0,14,1,12
9800.0,23,22,2
9209.0,6,7,26
8600.0,22,15,14
8600.0,29,20,16
9800.0,18,29,3
8629.0,17,27,15
11000.0,14,3,1
8665.0,16,28,24
9263.0,29,9,9
10875.0,9,7,0
10118.0,16,20,0
8800.0,7,24,24
8518.0,21,16,23
9008.0,14,6,24
9600.0,26,13,4
8637.0,11,18,14
9000.0,29,7,23
9627.0,14,1,27
8800.0,4,16,17
8932.0,25,11,11
9064.0,12,6,15
