Efficiency,EMAIL,PHONE
10456.0,25,10
10200.0,15,23
10400.0,14,28
10487.0,8,13
10200.0,21,14
10409.0,11,27
10480.0,9,12
10200.0,27,17
10200.0,25,16
10710.0,5,12
10665.0,14,8
10200.0,13,17
10303.0,13,26
10159.0,14,20
10692.0,25,7
11918.0,1,3
10600.0,8,28
10912.0,28,6
10114.0,18,22
11216.0,25,3
10103.0,20,18
11200.0,10,4
10136.0,23,18
10200.0,20,25
11157.0,6,6
11043.0,0,12
10689.0,4,26
10112.0,20,22
10710.0,1,19
10400.0,25,11
10602.0,8,29
11448.0,28,2
11000.0,0,13
10350.0,12,14
10207.0,20,14
10295.0,28,24
11471.0,19,1
10400.0,13,12
10200.0,19,14
10445.0,14,29
10870.0,19,5
11600.0,28,1
10400.0,26,28
11209.0,7,5
10611.0,9,10
10213.0,13,24
10238.0,12,23
10600.0,10,10
11400.0,9,3
10270.0,10,20
10351.0,9,22
10703.0,1,19
11800.0,11,0
10800.0,1,23
11134.0,3,8
10600.0,3,18
10514.0,27,29
10800.0,3,13
10600.0,13,9
10600.0,15,9
10400.0,8,15
10200.0,14,21
10600.0,10,10
10200.0,15,16
10600.0,20,8
11742.0,6,2
10200.0,19,25
11450.0,15,1
10075.0,20,19
10600.0,18,8
10600.0,13,9
10800.0,8,9
10600.0,20,8
11200.0,25,3
11400.0,4,5
10400.0,14,28
10800.0,3,13
10400.0,12,13
10637.0,5,13
11840.0,2,3
10200.0,24,23
10224.0,28,22
11200.0,27,4
10800.0,16,6
11321.0,17,2
11261.0,0,9
10143.0,20,23
10800.0,4,28
10607.0,9,10
10482.0,17,10
12600.0,0,0
11113.0,13,4
10400.0,19,29
10207.0,25,24
10094.0,17,21
10400.0,22,10
10600.0,9,29
11415.0,22,1
11749.0,13,0
10200.0,13,20
10861.0,13,6
10419.0,9,14
10200.0,16,24
10088.0,21,19
10400.0,14,28
11112.0,13,4
11425.0,28,2
10200.0,27,18
11000.0,9,6
10222.0,26,15
10452.0,10,27
10200.0,13,21
10400.0,16,28
11480.0,19,1
11313.0,8,4
11400.0,26,2
10400.0,8,18
10323.0,12,14
10716.0,1,18
10600.0,23,8
11200.0,16,3
10246.0,29,21
10288.0,29,23
10600.0,29,29
10484.0,5,17
11000.0,3,10
10443.0,12,28
10118.0,18,19
10200.0,28,20
10200.0,17,14
10200.0,24,23
10400.0,25,27
10545.0,6,25
10433.0,8,15
11314.0,4,6
10200.0,20,24
11200.0,0,10
10849.0,14,6
11800.0,3,3
11934.0,5,1
10400.0,13,27
11422.0,27,2
10800.0,1,24
10855.0,26,6
10600.0,3,18
11285.0,27,3
10473.0,5,18
11854.0,4,2
10117.0,17,18
10104.0,17,20
10258.0,25,13
10315.0,10,23
10889.0,18,5
10600.0,9,29
10200.0,15,23
10344.0,12,14
10335.0,26,13
10354.0,29,14
10351.0,16,12
10600.0,3,19
10200.0,26,19
11045.0,28,5
10140.0,15,18
10213.0,29,17
11400.0,7,4
10400.0,11,12
10200.0,25,17
10200.0,26,20
10600.0,24,8
11109.0,0,28
10400.0,23,28
10334.0,17,12
10200.0,13,17
10400.0,8,17
10600.0,7,27
11200.0,21,3
10324.0,18,12
12286.0,3,0
10138.0,17,22
10600.0,22,8
11644.0,10,1
11461.0,23,1
10200.0,14,17
10115.0,15,21
11104.0,2,9
10505.0,5,19
10251.0,17,13
11453.0,19,1
10338.0,26,13
10092.0,18,20
10502.0,18,9
10400.0,29,13
10265.0,18,26
10800.0,18,6
10142.0,22,17
10200.0,22,25
11486.0,14,1
11200.0,18,3
10600.0,7,27
10460.0,5,20
10513.0,18,9
10729.0,2,24
11800.0,28,0
10200.0,28,19
10200.0,13,16
12384.0,2,0
10238.0,22,13
12000.0,7,0
10800.0,5,11
10800.0,5,29
10109.0,19,19
10200.0,23,15
10688.0,13,8
10228.0,11,17
10400.0,27,13
12140.0,5,0
10200.0,28,18
10200.0,18,24
10523.0,9,28
10200.0,23,24
10266.0,17,13
10204.0,22,26
10200.0,26,16
10894.0,5,9
11018.0,0,12
10600.0,6,26
11810.0,7,1
10200.0,13,20
10090.0,21,18
10252.0,29,22
10200.0,14,22
11200.0,0,29
10600.0,20,8
10218.0,11,18
11238.0,3,7
12382.0,0,1
10142.0,25,20
10800.0,13,7
10806.0,5,29
11077.0,15,4
11400.0,6,4
10292.0,9,18
10622.0,3,17
10488.0,7,25
10287.0,10,17
11000.0,2,11
11418.0,28,2
11518.0,7,3
10800.0,1,22
10521.0,7,26
10322.0,17,12
10465.0,6,16
10400.0,27,13
11159.0,20,3
11800.0,1,4
11468.0,17,1
11320.0,19,2
10400.0,28,26
10895.0,1,13
11600.0,20,0
10552.0,28,10
10230.0,13,24
10600.0,7,12
10200.0,22,14
10347.0,8,17
11856.0,0,4
11153.0,4,7
10600.0,4,23
10521.0,5,23
10637.0,15,8
10500.0,28,11
10462.0,13,29
10200.0,20,16
10249.0,22,13
10400.0,24,28
10456.0,6,23
11486.0,5,4
10905.0,12,6
10600.0,3,22
10456.0,25,10
11216.0,9,4
10200.0,27,17
10744.0,3,26
10858.0,0,16
10200.0,27,17
10400.0,9,15
10304.0,14,26
10800.0,13,7
11478.0,23,1
10848.0,0,16
10200.0,28,18
10800.0,1,24
10717.0,15,7
11600.0,11,1
10355.0,8,17
10661.0,14,8
10400.0,7,19
