Efficiency,EMAIL,KNOWLEDGEBASE
10912.0,15,4
9652.0,8,21
9811.0,25,14
10000.0,9,14
9600.0,11,21
9920.0,6,17
9907.0,15,13
10200.0,4,14
9462.0,17,22
11127.0,9,4
10301.0,5,12
10200.0,24,9
10200.0,9,11
9600.0,18,19
9537.0,17,28
9849.0,27,14
9600.0,21,17
11284.0,26,2
9898.0,4,20
11226.0,19,2
10000.0,1,23
11011.0,28,4
10060.0,29,12
11400.0,22,1
9466.0,16,24
10800.0,14,5
10000.0,1,25
10400.0,25,8
9491.0,18,27
10259.0,14,9
9442.0,19,26
9536.0,22,19
11696.0,14,0
10458.0,2,12
10000.0,23,12
12600.0,0,0
9600.0,13,28
9600.0,12,29
10147.0,9,12
11467.0,14,1
9431.0,19,22
9516.0,14,21
10090.0,27,11
9600.0,12,22
9483.0,24,27
10205.0,8,11
9474.0,19,23
10000.0,2,27
9800.0,6,26
9514.0,19,29
10612.0,25,6
9462.0,17,23
10122.0,0,29
9800.0,27,15
9800.0,5,28
11400.0,20,1
11962.0,4,1
10307.0,23,8
9670.0,10,19
10400.0,18,8
9514.0,16,29
10000.0,2,27
11738.0,13,0
10800.0,4,8
11033.0,19,3
11108.0,26,3
12488.0,1,0
9800.0,5,27
9930.0,20,12
9600.0,28,19
9828.0,7,18
11400.0,16,1
10137.0,17,10
9839.0,16,13
10000.0,6,15
10339.0,0,16
9633.0,9,21
10008.0,16,11
9800.0,6,25
10664.0,12,6
12161.0,2,1
10000.0,2,19
9543.0,26,27
10028.0,18,11
10200.0,10,11
10600.0,19,6
10000.0,1,25
11607.0,10,1
9800.0,26,15
9853.0,4,27
9600.0,24,19
9600.0,21,17
9600.0,14,19
9708.0,8,29
9902.0,3,27
11004.0,7,5
9898.0,28,14
9944.0,21,12
9654.0,28,18
10510.0,3,11
10020.0,15,11
9613.0,10,29
9697.0,21,15
9800.0,9,18
9503.0,22,26
9800.0,27,16
9600.0,11,25
9516.0,20,20
9750.0,8,19
10047.0,25,11
9600.0,15,20
9529.0,27,24
10876.0,7,6
9800.0,18,14
11654.0,9,1
10800.0,9,6
9600.0,29,23
9800.0,7,28
11683.0,24,0
9825.0,14,14
11000.0,13,4
10088.0,10,12
9415.0,22,24
11200.0,27,3
9600.0,27,28
10911.0,0,9
11634.0,22,0
11072.0,24,3
9411.0,20,25
10400.0,26,8
11413.0,11,2
10800.0,0,10
11723.0,8,1
11502.0,5,3
10200.0,22,9
9800.0,8,19
10600.0,16,6
10600.0,17,6
9534.0,13,25
9858.0,4,24
9918.0,5,18
9800.0,12,15
9703.0,29,18
11400.0,11,2
9600.0,10,25
10610.0,25,6
9800.0,23,15
10400.0,9,9
10552.0,6,9
9600.0,28,24
9464.0,16,24
9800.0,28,15
10357.0,4,12
9501.0,25,22
9888.0,3,24
9438.0,18,25
10024.0,15,11
9444.0,19,26
9613.0,8,24
10400.0,8,10
9831.0,11,15
9905.0,6,17
10600.0,16,6
10424.0,19,7
10008.0,16,11
9470.0,20,22
